name,address,phone,website,rating_2gis,reviews_2gis
Escalada Fitness,"ул. Губкина, 6к1, Москва","+7 (495) 637-81-81","https://escalada.fit/","4.7","224"
La Salute Таганка,"ул. Земляной вал, 77, Москва","+7 (499) 229-71-77","https://lasalute.ru/","4.2","34"
Самокат,"Самокатная ул., 2с1, Москва","+7 (495) 129-63-24","https://samokat-fitnes.ru/","4.5","31"
Kometa Black,"Трубная пл., 2, ТЦ Неглинная, Москва","+7 (800) 222-34-59","https://kometa.fit/","4.7","201"
Golden Mile Fitness & Spa,"Хилков пер., 1, Москва","+7 (495) 969-29-30","https://goldenmileclub.ru/","5.0","4"
Маяк,"Головинское ш., 10Б, Москва","+7 (499) 226-11-09","https://mayak-fit.ru/","3.8","46"
Encore Fitness,"1-й Красногвардейский пр-д, 21, стр. 2, Москва","+7 (495) 120-23-99","https://encorefitness.ru/","4.6","89"
Royal Wellness Club,"Кутузовский пр-т, 2/1, стр. 1, Москва","+7 (495) 221-55-55","https://rwclub.ru/","4.3","67"
Soul Unit,"Нижняя Красносельская ул., 35 стр. 59, Москва","+7 (925) 175-82-82","https://soulunit.ru/","4.8","29"
Фитнес Практика,"Каланчевская ул., 16, Москва","+7 (495) 401-66-11","https://praktika.fit/","4.2","156"
Way2fit,"Ленинградский пр-т, 36, Москва","+7 (495) 105-93-03","https://way2fit.ru/","4.4","73"
Reboot East,"Шлюзовая наб., 4, Москва","+7 (495) 128-89-88","https://reboot.ru/","4.5","92"
Zasport Fitness&fun,"ул. Лавочкина, 32, Москва","+7 (495) 775-85-86","https://zasportfit.com/","4.1","58"
NordWest CrossFit,"ул. Маршала Бирюзова, 20, корп. 2, стр. 1, Москва","+7 (495) 108-69-04","https://nordwest.moscow/","4.6","87"
Garm,"ул. Генерала Глаголева, 19, Москва","+7 (977) 268-94-41","https://garmgym.ru/","4.3","64"
